product_name,has_6ft,has_15ft,missing_6ft,missing_15ft
2-2-1,True,False,False,True
Bunny in the Endzone,True,False,False,True
Chesney Cow,False,True,True,False
Clifton Denim,True,False,False,True
Don,True,False,False,True
"Down, Set",True,False,False,True
Guthrie,True,False,False,True
"Look Up, Child",True,False,False,True
Luck And Red,False,True,True,False
Luck and Red,True,False,False,True
Meriweather,True,False,False,True
Prescott,True,False,False,True
Reading Luke,True,False,False,True
Reading Luke 2,False,True,True,False
"Save Me, San Fransico",False,True,True,False
"Save Me, San Fransisco",True,False,False,True
Snow Day For the Goldens,False,True,True,False
Stafford,False,True,True,False
Stanton,True,False,False,True
Stonewall,True,False,False,True
"Tell Me, Santa",True,False,False,True
Test17,False,False,True,True
Test19,False,False,True,True
Test20,False,False,True,True
Test21,False,False,True,True
Tolliver,False,True,True,False
Wintertime Corgi  ,True,False,False,True
Wintertime Corgi   ,False,True,True,False
test31,False,False,True,True
testb,False,False,True,True
testb1,False,False,True,True
testb2,False,False,True,True
